feature,importance
accomplish,0.0009017091
lack,0.0009014254
reason electoral,0.0008997264
community service,0.0008992969
get mad,0.0008982964
certain,0.0008982894
ever,0.00089534256
time states,0.00089406356
supposed,0.00089401886
dioxide,0.0008932025
pay,0.00089143927
choose president,0.00089069904
quality,0.0008898048
gon,0.0008897618
belive,0.00088873156
impact,0.0008881711
modern,0.00088736624
nixon,0.0008868039
become,0.000886255
stress,0.0008845954
road,0.0008843715
curiosity likely,0.0008841421
worth,0.0008833119
class,0.0008821367
percent happy,0.00088108156
percent,0.00088071526
large states,0.00088023307
president would,0.00087846187
meet,0.0008783432
progress,0.0008782971
coding system,0.0008754336
social,0.0008718834
completely,0.000870874
option,0.0008703684
curiosity,0.000869897
direct,0.0008691667
smart,0.0008690918
wouldnt,0.00086837995
conditions,0.0008682516
kennedy,0.000866472
broke,0.00086623244
less,0.0008659227
could make,0.0008651831
martian,0.00086404395
get vote,0.000863502
paying attention,0.0008624602
aspect,0.0008624017
crazy,0.00086136116
attending classes,0.00085988303
access,0.0008590574
usage,0.000858866
computer,0.00085800805
defenders,0.00085641525
let us,0.00085631147
care,0.0008555325
voters vote,0.00085520156
parent,0.00085486745
election would,0.0008544792
single,0.00085361546
play,0.00084891135
pick,0.00084837445
phones school,0.0008454687
distance learning,0.00084498187
true,0.00084483676
state,0.0008443317
three,0.0008440286
people ask,0.00084394246
technology could,0.000839353
main,0.00083866605
extremely,0.0008365105
discourse_type_Rebuttal,0.0008353103
votes winner,0.00083426293
limiting,0.0008341744
school year,0.00083342806
difficult,0.0008319952
compelling,0.00083035586
thought,0.00083034317
amendment,0.0008300745
comes,0.000829861
see candidates,0.00082966185
town,0.00082963984
says,0.0008280332
bad,0.0008268592
want go,0.00082618184
students attend,0.0008254783
garages,0.0008246443
setting,0.0008243349
global,0.0008234352
venusian,0.00082247495
according,0.0008221491
disaster factor,0.00082049496
betrayed,0.0008167371
theorists,0.0008162821
radio,0.00081442954
enough,0.0008140034
passing,0.0008112411
throughout,0.00081100885
interested,0.0008109842
leads,0.00081079436
skills,0.00081014534
case,0.00080945826
important,0.0008079943
try,0.00080676435
author states,0.0008064484
vice,0.0008059149
land,0.00080508576
designed projects,0.0008050733
planetary,0.00080431765
prepared,0.00080413086
age,0.00080343493
lots,0.0008024112
high school,0.0008021959
surface,0.00080151437
discover,0.0008010956
studentdesigned,0.0008007806
think electoral,0.00079939
people feeling,0.0007989375
federal,0.000798082
possibilities,0.0007976854
volunteer,0.0007971674
solve,0.0007946859
election crisis,0.0007945781
voice,0.0007934834
instead,0.00079154386
indeed,0.0007908709
take care,0.0007907804
responsibility,0.00079065614
requiring,0.0007891312
wait,0.000788631
brightest,0.00078670424
focus,0.00078639435
keep electoral,0.00078610796
friend,0.00078494486
else,0.0007849049
voteing,0.00078404846
established,0.0007834324
upcoming,0.0007832399
attending,0.0007828622
mouth,0.0007824777
whether,0.0007801637
dangerous,0.00077946385
greater,0.0007780276
students dont,0.00077650935
exist,0.0007759746
made face,0.00077590026
natural,0.0007757371
emotional,0.00077571435
extracurricular,0.0007756561
decrease,0.00077542564
democracy,0.0007745869
also think,0.0007739159
mars natural,0.00077261485
enforced,0.0007717169
make students,0.00077104854
france,0.0007709087
single best,0.0007708853
places,0.0007693022
even though,0.0007686699
photos,0.00076852815
popular voting,0.00076850405
could help,0.0007684138
votes elect,0.0007672185
provided,0.00076662004
outdated,0.0007665862
cover,0.0007655326
friends,0.0007649882
start,0.0007645805
students participate,0.0007627616
called evening,0.0007625887
challenge,0.00076021417
grades,0.00075984164
reading,0.0007554347
open,0.0007541248
encourage,0.0007540149
college unfair,0.0007536781
need time,0.00075335806
think school,0.00075237924
slate electors,0.00075219414
studentdesigned projects,0.00075139053
doesnt,0.00075137627
wanting,0.0007501684
moving,0.00074983604
people world,0.0007486356
face face,0.0007484983
clouds,0.00074846373
ideas,0.00074824534
difference,0.0007473189
would say,0.0007467488
require,0.0007460805
dirty,0.0007458104
cases,0.0007453859
winter,0.00074441254
president may,0.0007432001
technology called,0.0007429673
therefore,0.0007429046
office,0.0007406565
ran president,0.0007402768
electorial,0.00074020855
light,0.0007387428
fail,0.0007381636
benefits,0.00073760084
recent,0.00073650025
ther,0.00073446106
allow,0.0007331862
reasoning,0.000733098
qualified citizens,0.00073304714
middle,0.000732772
leave,0.00073217385
held,0.0007321393
million,0.00073116826
assist,0.00073037326
author says,0.00073031604
degrees,0.00072973105
impossible,0.0007284967
anything else,0.0007283459
driving,0.00072774716
risks,0.00072736177
starts,0.0007267243
means,0.000726328
going,0.00072568253
schools offer,0.0007242529
policy,0.0007240335
join,0.00072347326
job,0.00072253466
projects assure,0.00072214723
facial,0.00072182226
help us,0.0007209987
started,0.0007200609
people united,0.0007195424
per,0.0007194698
free times,0.00071780616
writing,0.0007177743
past,0.000715931
new york,0.000715687
online class,0.0007151372
losing,0.0007149786
college restores,0.0007140321
system voters,0.00071391533
thing,0.0007126941
article says,0.00071207515
second,0.00071180606
electors turn,0.0007115892
water,0.00071126455
today,0.00071095047
work pace,0.00071040506
decisions,0.00071004964
would never,0.000709876
shadows,0.00070970913
meeting,0.0007095389
dont think,0.00070897944
think would,0.000708259
fiasco,0.00070791284
alien,0.00070750597
keeping electoral,0.0007074895
teams,0.00070682535
students wouldnt,0.0007068116
summer,0.00070652965
potential,0.0007064676
principle,0.0007062818
safer,0.0007061178
good school,0.0007060178
mesa,0.0007057838
complete project,0.0007053849
full,0.0007050859
almost percent,0.00070491305
let,0.00070416747
got,0.00070412393
behind,0.00070382276
another reason,0.00070321874
people dont,0.000703204
convincing,0.0007028965
explain,0.0007027169
united,0.0007024687
legal,0.00070201454
citizens,0.0007018108
ask people,0.00070168136
would better,0.0007010355
president elected,0.00070102036
second reason,0.00070081104
lot,0.00070071634
expressions,0.0007000888
like electoral,0.0006998023
sides,0.00069944066
running president,0.00069925986
want take,0.0006983372
hardest,0.0006981155
perspective,0.0006978774
club,0.0006975919
service,0.0006969845
first reason,0.00069678214
gets,0.0006965562
school,0.00069654256
runoff,0.000695955
ran,0.00069520046
constant,0.0006950559
quite,0.00069468736
allowed,0.00069437927
dr,0.0006942723
answers,0.0006942226
florida,0.0006941667
rules,0.0006939778
theyre,0.0006939076
require students,0.0006938383
buses,0.0006936869
receives majority,0.00069291814
student,0.00069283106
others,0.0006924029
prepare,0.0006919479
maybe,0.00069033814
walk,0.00069023756
late,0.0006900976
everybody,0.0006885325
columbia,0.00068528636
member,0.000684387
makes,0.0006843733
nondemocratic,0.0006839388
idaho,0.0006835059
different,0.0006833998
talk,0.000681716
truth,0.00068153633
cant,0.0006806617
cydonia,0.0006804229
reason people,0.00068041467
west,0.00067978894
easy,0.00067962665
began,0.00067953416
trips,0.0006789204
giving,0.00067730085
lived,0.0006769824
tasks,0.0006759717
vote compared,0.00067562767
landforms,0.00067557395
phone,0.00067408
throw,0.0006735073
likely,0.0006721458
much better,0.0006716378
earth,0.0006706052
helping,0.0006702973
low,0.00066888385
long,0.00066856557
bring,0.00066682865
child,0.00066669437
good,0.0006662544
also students,0.0006662471
designed,0.00066614
win,0.0006636872
spend,0.0006636228
camera,0.00066335785
decreed,0.0006626228
method awarding,0.0006617465
ill,0.000661219
compared percent,0.000660362
privacy,0.0006598187
deciding,0.00065978017
would beneficial,0.0006593995
mind,0.0006593882
percent angry,0.0006593588
better person,0.00065905624
big,0.0006586312
fine,0.0006584033
close,0.00065839576
bogota,0.000657985
listen,0.0006577315
brain,0.0006572873
bmw,0.0006571009
house,0.0006565508
effort,0.0006561382
ascertainment,0.00065508607
find way,0.0006549974
people voting,0.0006536355
face mars,0.00065241236
need help,0.00065222906
half,0.0006513814
get trouble,0.0006510171
also need,0.0006489326
students opportunity,0.0006482212
would one,0.0006478408
pixel,0.00064742786
right,0.0006472604
school community,0.00064577133
sitting,0.0006448461
help make,0.00064345484
nasa,0.0006433873
state legislatures,0.0006430104
set,0.0006424062
people advice,0.0006415956
home students,0.0006413827
people see,0.0006405103
students teachers,0.0006404413
boat,0.00063934526
canidate,0.00063910295
says electoral,0.00063836685
valleys,0.00063788757
peoples,0.00063760445
negative,0.000637535
voter,0.0006366491
contribute,0.000636319
online courses,0.0006356539
everything,0.0006356379
appreciate,0.0006350009
already,0.00063484884
give,0.0006345349
election president,0.0006341301
causing,0.0006340908
license,0.0006338907
injuries,0.0006333754
love,0.0006333092
times,0.0006324929
pictures,0.0006323947
large,0.0006314351
chance,0.00063137716
like one,0.000631046
litter,0.0006308922
online classes,0.0006306377
put,0.0006301653
logical,0.00062974746
go school,0.0006282242
four,0.00062763074
senate,0.00062710565
students work,0.00062692794
add,0.0006266896
believe,0.0006262008
software,0.0006255153
multiple people,0.0006253435
process,0.00062530296
use cell,0.00062506774
heshe,0.00062415295
someone,0.0006238733
projects teacherdesigned,0.0006235329
feelings,0.00062296883
within,0.00062218367
next president,0.00062173815
many people,0.0006208219
us,0.00062028633
feel like,0.00061994547
hidden,0.00061912363
activities students,0.00061904103
move,0.00061840354
forcing,0.000617932
density,0.00061762426
thus,0.00061723986
hundreds,0.00061700033
sensors,0.0006168353
real,0.000616758
choices,0.0006165091
size,0.0006163071
making,0.00061604
emotional expressions,0.0006157486
elections candidate,0.00061565184
activities like,0.0006153466
study,0.0006151564
anything,0.00061515573
exploring,0.00061462243
look,0.00061459356
opposed,0.00061401003
dont know,0.00061366824
point view,0.00061366777
games,0.00061333214
secondly,0.0006125351
lead,0.00061181805
person could,0.00061162125
go,0.0006116132
wanted,0.0006109955
safety,0.0006099136
talks,0.0006080448
kinda,0.0006077669
rights,0.000606755
outside,0.0006061502
good idea,0.00060526555
facs,0.00060446776
electoral vote,0.00060394645
election popular,0.0006027382
one person,0.0006014062
image,0.00060069625
say,0.0006002361
ask,0.0005996133
schools,0.0005993355
goes,0.0005988458
finish,0.00059800106
uses,0.0005970942
horses,0.0005955051
happiness,0.0005949098
machine,0.00059454516
venus worthy,0.00059435936
mercury closer,0.00059392076
help students,0.00059251115
shouldnt,0.0005919281
picture face,0.0005906723
sent,0.0005905405
saying,0.0005900612
attention,0.00058956083
want,0.00058938825
keep,0.00058911915
venus would,0.0005887983
one vote,0.000587862
car,0.00058733375
voting,0.00058536814
theres,0.0005843159
need keep,0.0005811245
candidate,0.0005806503
get done,0.00058018387
think face,0.0005800315
whole,0.00057722925
red,0.0005765421
variety,0.00057552994
wrong,0.0005752412
taking,0.0005738442
said,0.0005729259
problem,0.0005724511
receiving,0.00057236897
next,0.00057224755
video games,0.00057171454
power,0.00057147
attend classes,0.00057057705
potential voters,0.0005694333
despite dangers,0.00056889316
distracting,0.00056831515
made,0.0005681797
students education,0.00056799495
determine,0.00056766695
pay attention,0.0005669313
world,0.00056547864
create,0.0005632848
feeling,0.00056311535
chose,0.0005617216
sports,0.00056153047
message,0.0005612507
texting,0.000561206
requires,0.0005609559
would feel,0.0005604714
classroom,0.0005602244
mountains craters,0.0005596652
name,0.00055935245
without,0.000559167
fathers,0.00055894704
areas,0.0005586883
posner,0.0005581478
reason,0.0005575199
ways,0.0005572451
discussing,0.0005563518
kind,0.0005529759
question,0.0005528007
seen,0.00055085676
candidate transregional,0.0005501983
keeping,0.00054985704
send,0.00054899155
yet,0.0005485095
muscle,0.00054740167
get,0.00054620433
traditional,0.000544943
done,0.0005443623
richard,0.0005436112
play sports,0.00054309855
television,0.00054230436
different people,0.000541549
lost,0.0005415304
congestion,0.0005403534
students get,0.0005395456
possibly,0.000539111
vote state,0.00053629937
idea,0.00053628813
bad idea,0.00053628406
take,0.0005348342
clear air,0.0005335958
seventeen,0.0005332824
computer model,0.00053225167
complete,0.0005318828
electoral college,0.00053085753
system,0.000530762
clean,0.00053056946
argument,0.0005296322
bring cell,0.0005292064
perfect,0.0005277936
things,0.00052740995
least,0.00052735815
break,0.0005271218
resembles,0.00052625226
spacecraft,0.00052617287
ask advice,0.00052575086
extra,0.0005251406
studentdesigned project,0.0005244756
havent,0.00052443816
living,0.00052343926
able,0.00052303245
getting,0.0005221332
food,0.000522062
persons,0.00052114466
cell phones,0.000520051
terms,0.0005188131
feedback,0.0005187416
definitely,0.0005184823
president united,0.0005181064
machines,0.0005175768
faces,0.0005173056
facial expressions,0.0005168161
buying,0.00051678234
god,0.000516602
jobs,0.0005164957
make decision,0.00051498995
easier,0.00051454105
arent,0.0005144493
rock,0.0005141694
benefit,0.0005130687
mars could,0.00051301613
offer distance,0.0005124818
isnt,0.000512094
known,0.00051163463
best,0.00051132025
regions,0.000511156
activity,0.0005111491
information,0.00051012554
technology read,0.00050929544
still,0.0005083417
red planet,0.0005071424
really dont,0.0005070636
went,0.0005063997
place,0.00050623354
could go,0.00050485955
stay,0.00050422025
dont want,0.00050324376
electoral,0.0005023695
people state,0.0005021207
grade,0.0005009185
trust,0.0004998477
cameras,0.0004991261
prevent,0.00049875496
turn,0.000497901
hope carrying,0.0004978452
boring,0.0004975738
best choice,0.0004969662
position,0.0004969651
way voting,0.0004967617
others opinions,0.000495874
homework,0.00049515406
waste,0.0004944153
student designed,0.0004943228
im,0.00049414224
single vote,0.0004936617
angry,0.00049349305
way learning,0.0004928264
details,0.0004922476
weather,0.0004921435
methods,0.00049191853
many reasons,0.0004911151
hard,0.00049107365
nominee,0.00049094175
show,0.0004906451
program,0.00048992434
gives students,0.0004893148
humans,0.0004890946
many,0.00048900675
dont like,0.00048839836
would vote,0.00048762152
article challenge,0.00048690586
future,0.00048658455
vehicle,0.00048561447
individuals,0.00048542765
asking advice,0.0004851663
healthy,0.0004849246
instance,0.0004847064
summer assignments,0.0004844581
designed project,0.0004843971
last,0.00048430104
pass,0.0004826415
holds,0.0004821723
want make,0.00048180405
whats wrong,0.00048019493
gone,0.0004800169
becomes,0.00047992897
smog,0.00047990578
miles,0.00047984542
based,0.00047848665
example student,0.00047823365
fix,0.00047737535
winning,0.0004766853
actually,0.0004763475
president vice,0.0004763353
must,0.00047556564
partys,0.00047452588
society,0.00047437442
tuesday,0.00047375393
taken,0.00047317278
election,0.00047302264
summer projects,0.00047291644
campaign,0.00047248296
find,0.0004722497
planet solar,0.00047193884
powerful,0.0004704353
students use,0.00046975954
electoral votes,0.00046944027
cause,0.00046908818
much,0.00046874417
drive,0.0004686327
complicate,0.0004684785
scientist,0.00046824059
government,0.00046778636
wake,0.0004671091
trouble,0.0004668447
banned,0.0004655467
conferencing,0.0004645577
amount,0.00046438622
sign,0.00046417114
stressful,0.00046376453
try make,0.00046305926
fall,0.00046293094
common,0.000461174
problems,0.00046068293
april,0.00046058488
good bad,0.0004593437
states,0.00045872488
looks,0.00045769225
teachers,0.00045746868
hours,0.00045718648
winnertakeall,0.00045715153
side,0.00045614882
teacher,0.0004553203
seem,0.00045524948
alien artifact,0.0004533406
risk,0.0004530049
illusion,0.00045228802
popular,0.00045199806
work,0.00045170757
run,0.0004515313
object,0.0004514342
lesson,0.00045096563
way,0.00045060477
slate,0.00044980046
year,0.00044930208
democratic,0.0004485644
two,0.0004483077
conclusion,0.00044681603
couple,0.00044631027
look like,0.00044481686
felt,0.00044431243
electronic,0.00044285372
every,0.0004416605
formed,0.00044135874
since,0.00044082603
would like,0.00044014968
result,0.00043974142
always,0.00043907756
using,0.00043906725
part,0.00043708613
change,0.00043695103
real world,0.000436757
understand,0.00043662608
capable,0.00043650132
get know,0.0004359165
conditions surface,0.00043587617
also unfair,0.00043574435
principal,0.0004349463
another,0.00043431285
physical,0.0004338449
used,0.00043375877
great,0.00043195797
know,0.00043023622
easy conditions,0.00043002682
needs,0.00042998235
prepares,0.0004291659
books,0.00042870056
people get,0.00042844843
point,0.00042714507
family,0.00042640296
students going,0.0004256031
online,0.00042544006
first,0.00042527358
make sure,0.00042430565
da,0.00042358908
everyday,0.00042322907
guide,0.00042282342
plan,0.00042215543
sure,0.00042188147
senator,0.0004208906
help,0.0004207026
ahead,0.0004196275
crush,0.0004184853
technology,0.0004182724
home,0.00041802076
matter,0.00041729384
venus closest,0.00041693862
similar,0.00041691857
interest,0.00041628478
something,0.00041561376
wheel,0.00041536323
helpful,0.00041517717
crash,0.00041500438
wasnt,0.0004143439
better,0.0004130556
group,0.00041283056
shows,0.00041162304
drivers,0.00041159548
would able,0.00041075566
pedestrians,0.0004104481
possible solution,0.0004101041
though,0.00040990248
method,0.00040958545
would also,0.00040942582
model,0.0004078187
article making,0.00040773518
knowing,0.00040762138
dont even,0.00040760534
might,0.00040685124
experience planet,0.00040663528
sit,0.00040614186
people need,0.0004060758
college process,0.00040503655
away,0.0004045123
social skills,0.00040354842
life,0.00040345365
would benefit,0.0004023751
cleaner,0.00040207087
assigned,0.00040106484
back,0.00040101467
attend,0.00040091487
didnt,0.0004005154
selves,0.00040008465
cars would,0.0003992852
required elect,0.00039629868
hear,0.00039583555
students must,0.00039561762
nasas,0.0003955863
make,0.00039523997
enjoy,0.0003949631
class home,0.00039432565
however students,0.00039398082
venus venus,0.0003934674
call,0.00039340998
advice help,0.00039333056
traffic,0.00039197603
ensure,0.0003918819
race,0.0003914582
elected,0.00039030248
vote,0.00038931306
paragraph,0.00038920742
learn,0.000387849
choose,0.00038776046
head,0.00038717533
live,0.0003833237
hide,0.00038316596
lives,0.00038315656
far,0.00038285015
bans,0.00038274043
adults,0.0003827077
everyone,0.00038256636
sometimes,0.00038167523
way students,0.000381626
waste time,0.00038087383
college,0.0003808696
high,0.00038048116
dalto,0.00037924183
well,0.0003785801
course,0.0003779389
pressure,0.00037681495
eckman,0.00037620845
electoral collage,0.00037605967
electors,0.00037556747
time,0.00037548057
think change,0.0003751276
popular votes,0.00037491694
tutor,0.00037477067
look face,0.0003746407
percent voters,0.00037435055
votes,0.00037423975
need,0.00037398213
al,0.0003737549
teacherdesigned,0.00037315759
properly,0.00037300226
summer break,0.00037253185
winnertakeall system,0.000372462
lunch,0.0003723874
view,0.0003718814
majority,0.0003718746
sport,0.00037149954
opinion,0.00037124965
unmasking,0.0003711172
students could,0.00037103164
may say,0.00037079968
express,0.00037078778
imagine,0.00037000864
transportation,0.00036839853
day,0.00036659907
years,0.00036641673
create project,0.00036622435
new things,0.00036604994
end,0.00036596763
electors vote,0.00036562368
class online,0.00036544312
like earth,0.00036537708
people really,0.00036480973
person,0.00036471346
dangers presents,0.00036460787
bigger,0.00036429754
creative,0.00036429072
also,0.000364226
college abolished,0.0003638531
classes,0.00036362017
equal,0.00036340122
people,0.00036334989
going get,0.00036024116
field,0.0003598357
trying,0.00035970213
author supports,0.00035959078
elections,0.00035866752
even,0.00035722455
months,0.00035669073
one,0.00035662387
looking,0.0003565591
hostile,0.0003546107
complete summer,0.00035432176
gas,0.00035351608
study venus,0.0003533497
added,0.0003533487
presidency,0.00035244203
nothing,0.00035238013
resources,0.00035163856
another person,0.0003503302
advanced,0.0003498139
asked,0.0003489813
come,0.000347743
goal,0.00034729036
responsible,0.00034715707
solar,0.00034689842
piece,0.0003465311
created,0.0003448894
video,0.00034457637
found,0.00034275616
explore,0.00034256358
carbide,0.00034230307
voting president,0.0003421992
representatives,0.0003421156
people vote,0.00034178077
advice multiple,0.00034112972
would,0.00034096016
ought overruled,0.00034067637
topic,0.00033812088
changed,0.000335849
driverless cars,0.00033559007
presidents,0.00033438115
taking away,0.00033435284
new,0.00033300198
atmospheric,0.00033164697
valuable,0.0003314322
earths,0.00032993412
also states,0.00032939547
kids,0.000329298
could,0.0003286619
money,0.00032815285
votes would,0.00032785608
many students,0.00032690805
would good,0.0003260578
limit,0.00032602265
mission,0.0003249426
use,0.0003247721
compared,0.00032361003
ad,0.0003235884
project would,0.00032294876
located,0.00032121644
passengers,0.00032087293
picture,0.0003206014
safe,0.00032005808
viking,0.0003200124
working,0.00031956547
voting system,0.000317632
landform mars,0.00031757366
action coding,0.00031751598
wont,0.00031486223
summer project,0.000313625
system electoral,0.00031262572
took,0.00031234862
could modify,0.00031180502
students learn,0.00031102885
showed,0.00031040568
support idea,0.00031030094
participate,0.00030924781
greater experience,0.00030916496
college method,0.00030880113
avoid runoff,0.00030879627
boxing,0.00030813273
turned,0.00030748214
students would,0.00030659465
caught,0.0003065693
reasons,0.00030633737
designed teachers,0.00030501914
south,0.00030431355
wants,0.00030153655
learned,0.00030104103
design,0.00029934294
college consists,0.0002993082
feel,0.00029811152
germany,0.00029735072
dont spend,0.00029674254
aspects,0.0002952432
science,0.0002934207
venus worth,0.00029322205
would want,0.00029185234
death,0.00029183598
people consider,0.00029098365
mad,0.0002909689
political,0.00029021225
gave,0.0002897056
service help,0.0002894515
happen,0.0002891373
lot people,0.00028847824
almost,0.000288323
garvin,0.0002870994
sick,0.00028509993
playing,0.00028378094
students want,0.00028344168
order,0.00028057507
pursuit,0.00028028223
presents,0.00027836804
think make,0.00027693098
laws,0.00027522922
america,0.00027304562
allows students,0.0002722075
letter,0.00027202736
speak,0.00027174194
blankets venus,0.0002712983
paragraph states,0.00026923604
communication,0.0002691268
selsky,0.00026754706
presidential,0.0002654008
bradford,0.00026534792
figure,0.00026445623
come school,0.00026294697
improve,0.00026280252
one day,0.00026246044
abolish,0.00026235238
offer,0.00026147615
cast,0.0002601715
short,0.00025885706
could cause,0.00025762216
human,0.0002572108
planets,0.00025713566
strikes,0.00025651403
closest,0.00025601164
idea sending,0.0002556963
declaring candidate,0.00025520142
young,0.0002543012
states electoral,0.00025404105
candidates,0.00025327725
vote president,0.00025256615
density size,0.00025023232
air,0.00024817037
arguing,0.0002478099
